GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.uteq.backend.security,LoginRateLimiter,50,69,5,7,12,13,4,8,1,5
,com.uteq.backend.security,JwtAuthFilter,0,105,1,7,0,32,1,6,0,3
,com.uteq.backend.security,ChatbotRateLimiter,14,56,1,7,5,10,1,7,0,4
,com.uteq.backend.security,JwtService,8,136,1,1,2,40,3,13,2,13
,com.uteq.backend.security,UserDetailsServiceImpl,0,55,0,0,0,14,0,4,0,4
,com.uteq.backend.scheduling,UsuarioScheduler,5,23,1,1,1,8,1,3,0,3
,com.uteq.backend.scheduling,ReservacionScheduler,0,80,0,2,0,24,0,7,0,6
,com.uteq.backend.scheduling,NotificacionVencimientoScheduler,6,91,0,2,0,25,1,5,1,4
,com.uteq.backend.service,RespaldoCompletoService,326,15,38,0,69,6,35,1,16,1
,com.uteq.backend.service,ChatbotService,45,326,2,14,7,75,4,16,2,10
,com.uteq.backend.service,PrestamoService,816,601,27,39,123,151,52,40,36,23
,com.uteq.backend.service,CredencialQrService,7,75,0,2,2,17,0,7,0,6
,com.uteq.backend.service,NotificacionService,210,216,14,10,46,55,19,12,9,10
,com.uteq.backend.service,BackupService,599,146,74,0,104,19,57,2,20,2
,com.uteq.backend.service,AuthService,285,466,18,14,46,98,21,18,11,12
,com.uteq.backend.service,UsuarioAdminService,110,501,22,24,10,102,28,22,8,19
,com.uteq.backend.service,BackupStorageService,345,6,28,0,48,1,24,1,10,1
,com.uteq.backend.service,BackupProgramacionService,528,27,36,0,95,9,41,2,23,2
,com.uteq.backend.service,EmailService,104,69,7,1,20,17,5,3,1,3
,com.uteq.backend.service,ReservacionService,168,313,24,16,34,73,23,18,7,14
,com.uteq.backend.service,VerificacionCorreoService,29,96,0,6,8,22,0,8,0,5
,com.uteq.backend.service,SugerenciaAdquisicionService,36,185,6,4,5,46,7,11,3,10
,com.uteq.backend.service,FavoritoService,34,154,1,3,5,28,4,11,3,10
,com.uteq.backend.service,SuscripcionDisponibilidadService,136,15,12,0,23,6,13,1,7,1
,com.uteq.backend.service,ConfiguracionSistemaService,17,143,0,2,4,37,1,10,1,9
,com.uteq.backend.repository,PrestamoProcedureRepository,20,0,0,0,3,0,3,0,3,0
,com.uteq.backend.controller,LibroController,0,104,0,0,0,23,0,12,0,12
,com.uteq.backend.controller,BackupController,8,362,6,20,0,61,6,19,0,12
,com.uteq.backend.controller,ConfiguracionSistemaController,0,19,0,0,0,5,0,3,0,3
,com.uteq.backend.controller,AutorController,0,71,0,0,0,16,0,6,0,6
,com.uteq.backend.controller,EditorialController,0,80,0,2,0,18,0,7,0,6
,com.uteq.backend.controller,NotificacionController,0,14,0,0,0,4,0,2,0,2
,com.uteq.backend.controller,AuthController,0,167,0,4,0,36,0,12,0,10
,com.uteq.backend.controller,ChatbotController,0,20,0,0,0,5,0,3,0,3
,com.uteq.backend.controller,SuscripcionDisponibilidadController,0,67,0,0,0,18,0,6,0,6
,com.uteq.backend.controller,EstadoLibroController,0,25,0,0,0,7,0,3,0,3
,com.uteq.backend.controller,PublicoLibroController,0,34,0,0,0,7,0,4,0,4
,com.uteq.backend.controller,ProveedorController,1,221,4,16,0,46,4,14,0,8
,com.uteq.backend.controller,SugerenciaAdquisicionController,2,91,1,1,0,21,1,8,0,8
,com.uteq.backend.controller,AuditoriaController,0,49,0,0,0,8,0,4,0,4
,com.uteq.backend.controller,CategoriaDanoController,0,130,0,10,0,20,0,11,0,6
,com.uteq.backend.controller,IdiomaController,5,129,1,7,0,28,1,9,0,6
,com.uteq.backend.controller,CategoriaController,0,80,0,2,0,18,0,7,0,6
,com.uteq.backend.controller,RespaldoCompletoController,112,136,17,7,17,32,12,9,1,8
,com.uteq.backend.controller,UsuarioAdminController,6,57,0,0,1,12,1,6,1,6
,com.uteq.backend.controller,CategoriaDanoController.CategoriaRequest,0,6,0,0,0,1,0,1,0,1
